136	1581
144	1587
156	1598
163	1606
169	1611
176	1618
401	2462
416	2468
2369	3312
2375	3320
2375	3321
2382	3326
2382	3328
2387	3333
2391	3335
2396	3340
2400	3343
2403	3346
2408	3350
2408	3353
2412	3359
2419	3366
2425	3375
2431	3380
2436	3385
2437	3387
2441	3394
2448	3400
2449	3402
2451	3405
2462	3417
426	3431
430	3434
435	3438
438	3441
440	3443
441	3446
450	3453
455	3457
460	3465
467	3469
472	3473
476	3476
482	3481
482	3484
497	3492
497	3495
511	3501
511	3506
578	3535
578	3539
583	3547
590	3553
598	3558
604	3564
615	3573
620	3577
627	3582
633	3587
638	3591
646	3598
651	3602
655	3607
662	3614
667	3617
671	3621
679	3625
684	3630
692	3636
697	3640
708	3648
726	3661
739	3676
739	3680
743	3683
747	3686
747	3687
747	3688
750	3689
752	3691
752	3692
755	3693
755	3696
759	3701
765	3705
769	3709
777	3714
782	3720
786	3723
789	3726
796	3730
803	3737
807	3741
815	3746
821	3752
835	3762
846	3770
854	3777
859	3780
868	3788
876	3794
883	3800
915	3827
922	3833
931	3839
944	3847
944	3850
20	4469
27	4474
32	4480
37	4486
50	4495
59	4502
65	4508
77	4515
93	4525
99	4529
99	4535
